P2033
  1:  1,0,Hauptmenue, bitte waehlen :   
  2:  2,1,Anzeige                       
  3:  2,0,Stoerungsverwaltung           
  4:  3,1,Stoerungsprotokoll            
  5:  3,1,akt. anstehende Stoerungen    
  6:  3,1,Stoerungsfreigabe             
  7:  3,1,Langzeitmeldeprotokoll        
  8:  3,1,Wiederkehrende Stoerungen     
  9:  2,0,Ein- Ausgaenge                
 10:  3,1,Analogeingaenge               
 11:  3,1,Analogausgaenge               
 12:  3,1,PWM-Ausgaenge                 
 13:  3,1,Digitalausgaenge              
 14:  3,1,Digitaleingaenge              
 15:  2,0,Kessel                        
 16:  3,1,Kessel Leistungsregelung      
 17:  3,1,Kessel Durchflussregelung     
 18:  3,1,Kesselparameter               
 19:  3,1,Kesseltoleranz Hauptkreis     
 20:  3,1,Kesselrangfolge               
 21:  3,1,Pumpenvorlauf erlaubt?        
 22:  3,1,Erhaltungsreg. Holzkessel1    
 23:  3,1,Erhaltungsreg. Holzkessel2    
 24:  3,1,Mindestoeffn K-Mi bei Anf (%) 
 25:  3,1,Position HauptkreisISTwert    
 26:  2,0,BHKW                          
 27:  3,1,BHKW Betriebsprot. (Merlin)   
 28:  3,1,BHKW Parameter                
 29:  3,1,BHKW Betrieb ab VL >          
 30:  3,1,Min TCMAX (WW ueberladen,...) 
 31:  2,0,Biogas                        
 32:  3,1,Biogaskessel Ein ab Fuellst > 
 33:  3,1,Biogasfackel Ein ab Fuellst > 
 34:  2,0,Trocknung                     
 35:  3,1,MindestVL HK2 bei Trockn-Betr 
 36:  3,1,Trocknung Zuluftsollwert      
 37:  3,1,Sollwert Geblaese (%)         
 38:  2,0,Heizkreise                    
 39:  3,1,Heizkurven                    
 40:  3,0,Absenkung                     
 41:  4,1,Heizkreise Wochenkalender     
 42:  4,1,Heizkreise Jahreskalender     
 43:  3,1,HK-Pumpenregelung             
 44:  3,1,HK-Vorlaufregelung            
 45:  3,1,Heizkreisparameter            
 46:  3,1,Tau AT-Schnitt (h)            
 47:  3,1,AT-Schnitt (aktuell)          
 48:  3,1,Estrichtrocknung              
 49:  3,1,Jahreskal. HZG-AUS bei AT > 3 
 50:  2,0,Allgemein                     
 51:  3,0,Zaehler                       
 52:  4,1,Aktuelle Zaehlerstaende       
 53:  4,1,Monatszaehler                 
 54:  4,1,Jahreszaehler                 
 55:  4,1,Sonstige Zaehler              
 56:  3,0,M-Bus                         
 57:  4,1,M-Bus Werte                   
 58:  4,1,M-Bus Busdaten                
 59:  4,1,M-Bus Lesezyklus (s)          
 60:  3,0,Externe Einfluesse            
 61:  4,1,Ext. Einfluss Heizkreise      
 62:  4,1,Ext. Einfluss Kessel          
 63:  3,0,Ausloeseschwellen             
 64:  4,1,Gassensor analog (V)          
 65:  4,1,HZG-Druck-Warnschwellen (bar) 
 66:  3,1,Ueberheizung Hauptkreis (K)   
 67:  3,1,Hauptnutzungsdauer Heizung    
 68:  2,0,Systembereich                 
 69:  3,0,Abgleichen                    
 70:  4,1,Analogeingaenge abgleichen    
 71:  4,1,Analogausgaenge abgleichen    
 72:  4,1,Zaehleingaenge abgleichen     
 73:  4,1,Gasheizwert (Hu)              
 74:  3,1,Uhrzeit / Datum               
 75:  3,1,Zustand der EINGABETASTE      
 76:  3,1,Resetinfo                     
 77:  3,0,RTOS System                   
 78:  4,0,RTOS Systemmeldungen          
 79:  5,1,Ausgabekanal Systemmeldungen  
 80:  5,1,Systemmeldungen ausgeben      
 81:  4,1,geplanter RESET               
 82:  4,1,Einstellwerte neu initialis.  
 83:  4,1,Verzoegerung Tastatur (ms)    
 84:  4,1,Interv. Steigungsmessung (s)  
 85:  3,1,Status Relais (Handschalter)  
 86:  2,1,Schornsteinfegermenue         
